reference_number,inn,common_ingredients,cas_number,ec_number,product_type,maximum_concentration,other,wording_of_conditions,regulation,regulated_by,other_regulations,sccs_opinions,chemical_name,identified_ingredients,cmr,update_date
2a,"Thioglycolic acid and its salts","THIOGLYCOLIC ACID",68-11-1,200-677-4,"(a) Hair products

(b) Depilatories

(c) Hair rinse-off products 

(d) Products intended for eyelash waving","(a) (i) 8%    (ii) 11% 

(b) 5% 

(c) 2%
 
(d) 11% The abovementioned percentages are calculated as thioglycollic acid","(a) (i) General use ready for use pH 7 to 9.5        (ii) Professional use ready for use pH 7 to 9.5

(b) ready for use pH 7 to 12.7

(c) ready for use pH 7 to 9.5

(d) ready for use pH 7 to 9,5


","Conditions of use:

(a) (b) (c) (d)
Avoid contact with eyes
Rinse eyes immediately if product comes into contact with them.

(a) (c) (d)
Wear suitable gloves

Warnings to be printed on the label:
(a)(i) (b) (c)
Contains thioglycolate
Follow the instructions
Keep out of reach of children

(a)(ii) (d)
For professional use only
Contains thioglycolate
Follow the instructions’
","(EU) 2015/1190",,"Thioglycolic acid and its salts (TGA)","Thioglycolic acid and its salts","AMMONIUM THIOGLYCOLATE,CALCIUM THIOGLYCOLATE,ETHANOLAMINE THIOGLYCOLATE,MAGNESIUM THIOGLYCOLATE,POTASSIUM THIOGLYCOLATE,SODIUM THIOGLYCOLATE,STRONTIUM THIOGLYCOLATE,THIOGLYCOLIC ACID,CALCIUM THIOGLYCOLATE HYDROXIDE",,27/07/2020
333,"2-methyl-5-(prop- 1-en-2-yl)cyclohex- 2-en-1-one;(5R)- 2-Methyl-5-prop- 1-en-2-ylcyclohex- 2-en-1-one;(5S)- 2-Methyl-5-prop- 1-en-2-ylcyclohex- 2-en-1-one",Carvone,"99-49-0 / 6485-40-1/ 2244-16-8","202-759-5/ 229-352-5/ 218-827-2",,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,CARVONE,,14/09/2023
334,"2-Methyl-1-phenyl- 2-propyl acetate; Dimethylbenzyl Carbinyl Acetate","Dimethyl Phenethyl Acetate",151-05-3,205-781-3,,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"Dimethyl Phenethyl Acetate",,03/10/2023
335,"Oxacyclohepta- decan-2-one",Hexadecanolactone,109-29-5,203-662-0,,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,HEXADECANOLACTONE,,03/10/2023
336,"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta-γ-2-benzopyran",Hexamethylindanopyran,1222-05-5,214-946-9,,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds:
— 0,001 % in leave-on products
— 0,01 % in rinse-off products",,"(EU) 2023/1545",,,,HEXAMETHYLINDANOPYRAN,,14/09/2023
337,"3,7-Dimethyl octa-1,6-diene-3-yl acetate","Linalyl Acetate",115-95-7,204-116-4,,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"LINALYL ACETATE",,03/10/2023
338,"Menthol; dl-menthol; l-menthol; d-menthol",Menthol,"89-78-1 / 1490-04-6 / 2216-51-5 / 15356-60-2","201-939-0/ 216-074-4/ 218-690-9/ 239-387-8",,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,MENTHOL,,14/09/2023
339,"3-Methyl- 5-(2,2,3-Trimethyl- 3-Cyclopentenyl) pent-4-en-2-ol","Trimethylcyclopentenyl Methylisopentenol",67801-20-1,267-140-4,,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"Trimethylcyclopentenyl Methylisopentenol",,03/10/2023
340,"o-Hydroxy- benzaldehyde",Salicylaldehyde,90-02-8,201-961-0,,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,SALICYLALDEHYDE,,03/10/2023
341,"5-(2,3-Dimethyl- tricyclo[2.2.1.02,6]- hept-3-yl)- 2-methylpent-2-en- 1-ol (alpha-Santalol); (1S-(1a,2a(Z),4a))- 2-Methyl- 5-(2-methyl- 3-methylenebicyclo [2.2.1]hept-2-yl)- 2-penten-1-ol (beta-Santalol)",Santalol,"11031-45-1/ 115-71-9/ 77-42-9","234-262-4/ 204-102-8/ 201-027-2",,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,SANTALOL,,03/10/2023
342,"[1R-(1alpha)]-alpha- Ethenyldecahydro- 2-hydroxy-a,2,5,5,8a- pentamethyl- 1-naphthalenepropanol",Sclareol,515-03-7,208-194-0,,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,SCLAREOL,,03/10/2023
343,"2-(4-methylcyclohex- 3-en-1-yl)propan- 2-ol; p-Menth-1-en- 8-ol (alpha- Terpineol); 1-methyl- 4-(1-methylvinyl) cyclohexan-1-ol (beta-Terpineol); 1-methyl- 4-(1-methylethylidene)cyclohexan-1-ol (gamma-Terpineol)",Terpineol,"8000-41-7/ 98-55-5/ 138-87-4/ 586-81-2","232-268-1/ 202-680-6/ 205-342-6/ 209-584-3",,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,TERPINEOL,,03/10/2023
344,"1-(1,2,3,4,5,6,7,8-octahydro-2,3,8,8-tetramethyl- 2-naphthyl)ethan- 1-one; 1-(1,2,3,4,5,6,7,8-octahydro-2,3,5,5-tetramethyl- 2-naphthyl)ethan- 1-one; 1-(1,2,3,5,6,7,8,8a- octahydro-2,3,8,8-tetramethyl- 2-naphthyl)ethan- 1-one; 1-(1,2,3,4,6,7,8,8a- octahydro-2,3,8,8-tetramethyl- 2-naphthyl)ethan- 1-one","Tetramethyl acetyloctahydronaphthalenes","54464-57-2/ 54464-59-4/ 68155-66-8/ 68155-67-9/","259-174-3/ 259-175-9/ 268-978-3/ 268-979-9/",,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES",,03/10/2023
345,"3-(2,2-Dimethyl- 3-hydroxypropyl) toluene",Trimethylbenzenepropanol,103694-68-4,403-140-4,,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,TRIMETHYLBENZENEPROPANOL,,03/10/2023
346,"4-Hydroxy- 3-methoxybenz- aldehyde",Vanillin,121-33-5,204-465-2,,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,VANILLIN,,03/10/2023
347,"Cananga odorata flower oil and extract; Ylang Ylang flower oil and extract","Cananga Odorata Flower Extract; Cananga Odorata Flower Oil","83863-30-3/ 8006-81-3/ 68606-83-7/ 93686-30-7","281-092-1/ -/-/ 297-681-1",,,"The presence of the substance or substances shall be indicated as ‘Cananga Odorata Oil/Extract’ in the list of ingredients referred to in Article 19(1), point (g), when the concentration exceeds of the substance or substances: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"CANANGA ODORATA FLOWER EXTRACT,CANANGA ODORATA FLOWER OIL",,03/10/2023
348,"Cinnamomum cassia leaf Oil","Cinnamomum Cassia Leaf Oil","8007-80-5/ 84961-46-6","-/ 284-635-0",,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"CINNAMOMUM CASSIA LEAF OIL",,03/10/2023
349,"Cinnamomum zeylanicum bark oil","Cinnamomum Zeylanicum Bark Oil","8015-91-6/ 84649-98-9","-/ 283-479-0",,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"CINNAMOMUM ZEYLANICUM BARK OIL",,03/10/2023
350,"Citrus aurantium amara and dulcis flower oil","Citrus Aurantium Amara Flower Oil; Citrus Aurantium Dulcis Flower Oil","72968-50-4/ 8028-48-6/ 8016-38-4","277-143-2/ 232-433-8/-",,,"The presence of the substance or substances shall be indicated as ‘Citrus Aurantium Flower Oil’ in the list of ingredients referred to in Article 19(1), point (g), when the concentration of the substance or substances exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"CITRUS AURANTIUM DULCIS FLOWER OIL,CITRUS AURANTIUM AMARA FLOWER OIL",,03/10/2023
351,"Citrus aurantium amara and dulcis peel oil","Citrus Aurantium Amara Peel Oil; Citrus Aurantium Dulcis Peel Oil; Citrus Sinensis Peel Oil","68916-04-1/ 72968-50-4; 97766-30-8/ 8028-48-6/ 8008-57-9","-/ 277-143-2; 307-891-8/ 232-433-8/",,,"The presence of the substance or substances shall be indicated as ‘Citrus Aurantium Peel Oil’ in the list of ingredients referred to in Article 19(1), point (g), when the concentration of the substance or substances exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"CITRUS AURANTIUM AMARA PEEL OIL,CITRUS AURANTIUM DULCIS PEEL OIL,Citrus Sinensis Peel Oil",,03/10/2023
352,"Citrus aurantium bergamia oil (Bergamot oil)","Citrus Aurantium Bergamia Peel Oil","8007-75-8 89957-91-5 68648-33-9/ 8007-75-8/ 85049-52-1","616-915-9 289-612-9-/ 616-915-9/",,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"CITRUS AURANTIUM BERGAMIA PEEL OIL",,03/10/2023
353,"Citrus limon oil","Citrus Limon Peel Oil",-,"84929-31-7/  8008-56-8",,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds:
— 0,001 % in leave-on products
— 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"CITRUS LIMON PEEL OIL",,03/10/2023
354,"Cymbopogon citratus / schoenanthus/ flexuosus oils","Cymbopogon Schoenanthus Oil; Cymbopogon Flexuosus Oil; Cymbopogon Citratus Leaf Oil","8007-02-1/ 89998-16-3; 91844-92-7; 8007-02-1/ 91844-92-7","-/ 289-754-1; 295-161-9; 295-161-9/ 295-161-9",,,"The presence of the substance or substances shall be indicated as ‘Lemongrass Oil’ in the list of ingredients referred to in Article 19(1), point (g), when the concentration of the substance or substances exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"CYMBOPOGON CITRATUS LEAF OIL,CYMBOPOGON FLEXUOSUS OIL,CYMBOPOGON SCHOENANTHUS OIL",,03/10/2023
355,"Eucalyptus globulus oil","Eucalyptus Globulus Leaf Oil; Eucalyptus Globulus Leaf/Twig Oil","97926-40-4/ 8000-48-4; 8000-48-4","308-257-3/ 616-775-9; 616-775-9",,,"The presence of the substance or substances shall be indicated as ‘Eucalyptus Globulus Oil’ in the list of ingredients referred to in Article 19(1), point (g), when the concentration of the substance or substances exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"EUCALYPTUS GLOBULUS LEAF OIL,EUCALYPTUS GLOBULUS LEAF/TWIG OIL",,03/10/2023
356,"Eugenia caryophyllus oil","Eugenia Caryophyllus Leaf Oil; Eugenia Caryophyllus Flower Oil; Eugenia Caryophyllus Stem oil; Eugenia Caryophyllus Bud oil","8000-34-8 / 8015-97-2/ 84961-50-2; 84961-50-2; 84961-50-2; 84961-50-2","616-772-2/ -/ 284-638-7; 284-638-7; 284-638-7; 284-638-7",,,"The presence of the substance or substances shall be indicated as ‘Eugenia Caryophyllus Oil’ in the list of ingredients referred to in Article 19(1), point (g), when the concentration of the substance or substances exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"EUGENIA CARYOPHYLLUS BUD OIL,EUGENIA CARYOPHYLLUS LEAF OIL,EUGENIA CARYOPHYLLUS STEM OIL,EUGENIA CARYOPHYLLUS FLOWER OIL",,03/10/2023
357,"Jasminum grandiflorum / officinale oil and extract","Jasminum Grandiflorum Flower Extract; Jasminum Officinale Oil; Jasminum Officinale Flower Extract","84776-64-7/ 90045-94-6/ 8022-96-6/ 8024-43-9 90045-94-6","283-993-5/ 289-960-1/ -/289-960-1",,,"The presence of the substance or substances shall be indicated as ‘Jasmine Oil/Extract’ in the list of ingredients referred to in Article 19(1), point (g), when the concentration of the substance or substances exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products",,"(EU) 2023/1545",,,,"JASMINUM OFFICINALE OIL,JASMINUM GRANDIFLORUM FLOWER EXTRACT,JASMINUM OFFICINALE FLOWER EXTRACT",,03/10/2023
358,"Juniperus virginiana oil","Juniperus Virginiana Oil; Juniperus Virginiana Wood Oil","8000-27-9 / 85085-41-2","-/ 285-370-3",,,"The presence of the substance or substances shall be indicated as ‘Juniperus Virginiana Oil’ in the list of ingredients referred to in Article 19(1), point (g), when the concentration of the substance or substances exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"JUNIPERUS VIRGINIANA WOOD OIL,JUNIPERUS VIRGINIANA OIL",,03/10/2023
359,"Laurus nobilis oil","Laurus Nobilis Leaf Oil","8002-41-3/ 8007-48-5/ 84603-73-6","-/-/ 283-272-5",,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"LAURUS NOBILIS LEAF OIL",,03/10/2023
360,"Lavandula hybrida oil/extract; Lavandula intermedia oil/extract; Lavandula angustifolia oil/extract","Lavandula Hybrida Oil; Lavandula Hybrida Extract; Lavandula Hybrida Flower Extract; Lavandula Intermedia Flower/Leaf/Stem Extract; Lavandula Intermedia Flower/Leaf/Stem Oil; Lavandula Intermedia Oil; Lavandula Angustifolia Oil; Lavandula Angustifolia Flower/Leaf/Stem Extract","91722-69-9/ 8022-15-9/ 93455-96-0/ 93455-97-1/ 92623-76-2; 84776-65-8/ 8000-28-0/ 90063-37-9; 84776-65-8/ 8000-28-0/ 90063-37-9","294-470-6/-/-/-/ 296-408-3; 283-994-0/-/ 289-995-2; 283-994-0/-/ 289-995-2",,,"The presence of the substance or substances shall be indicated ‘Lavandula Oil/ Extract’ in the list of ingredients referred to in Article 19(1), point (g), when the concentration of the substance or substances exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"LAVANDULA ANGUSTIFOLIA OIL,LAVANDULA HYBRIDA EXTRACT,LAVANDULA HYBRIDA OIL,LAVANDULA INTERMEDIA EXTRACT,LAVANDULA INTERMEDIA OIL,LAVANDULA ANGUSTIFOLIA EXTRACT",,03/10/2023
361,"Mentha piperita oil","Mentha Piperita Oil","8006-90-4/ 84082-70-2","-/ 282-015-4",,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"MENTHA PIPERITA OIL",,03/10/2023
362,"Mentha spicata oil (spearmint oil)","Mentha Viridis Leaf Oil","8008-79-5/ 84696-51-5","616-927-4/ 283-656-2",,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"MENTHA VIRIDIS LEAF OIL",,03/10/2023
363,"Narcissus poeticus/ pseudonarcissus/ jonquilla/tazetta extract","Narcissus Poeticus Extract; Narcissus Pseudonarcissus Flower Extract; Narcissus Jonquilla Extract, Narcissus Tazetta Extract","90064-26-9/ 68917-12-4; 90064-27-0; 90064-25-8","290-087-3/ -; 290-088-9; 290-086-8",,,"The presence of the substance or substances shall be indicated as ‘Narcissus Extract’ in the list of ingredients referred to in Article 19(1), point (g), when the concentration of the substance or substances exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"NARCISSUS JONQUILLA EXTRACT,NARCISSUS TAZETTA EXTRACT,NARCISSUS POETICUS EXTRACT,NARCISSUS PSEUDONARCISSUS FLOWER EXTRACT",,03/10/2023
364,"Pelargonium graveolens oil","Pelargonium Graveolens Flower Oil","90082-51-2/ 8000-46-2","290-140-0/ -",,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"PELARGONIUM GRAVEOLENS FLOWER OIL",,03/10/2023
365,"Pogostemon cablin oil","Pogostemon Cablin Oil","8014-09-3/ 84238-39-1","-/ 282-493-4",,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"POGOSTEMON CABLIN OIL",,03/10/2023
366,"Rosa damascena flower oil/extract; Rosa alba flower oil/extract; Rosa canina flower oil; Rosa centifolia oil/extract; Rosa gallica flower oil; Rosa moschata flower oil; Rosa rugosa flower oil","Rosa Damascena Flower Oil; Rosa Damascena Flower Extract; Rosa Alba Flower Oil; Rosa Alba Flower Extract; Rosa Canina Flower Oil; Rosa Centifolia Flower Oil; Rosa Centifolia Flower Extract; Rosa Gallica Flower Oil; Rosa Moschata Flower Oil; Rosa Rugosa Flower Oil","8007-01-0/ 90106-38-0; 93334-48-6; 93334-48-6; 84696-47-9; 84604-12-6; 84604-13-7; -; 92347-25-6","-/ 290-260-3; 297-122-1; 297-122-1; 283-652-0; 283-652-0; 283-290-3; -; 283-290-3",,,"The presence of the substance or substances shall be indicated as ‘Rose Flower Oil/Extract’ in the list of ingredients referred to in Article 19(1), point (g), when the concentration of the substance or substances exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"ROSA ALBA FLOWER EXTRACT,ROSA CANINA FLOWER OIL,ROSA GALLICA FLOWER OIL,ROSA CENTIFOLIA FLOWER EXTRACT,ROSA CENTIFOLIA FLOWER OIL,ROSA DAMASCENA FLOWER EXTRACT,ROSA DAMASCENA FLOWER OIL,ROSA MOSCHATA OIL,ROSA RUGOSA FLOWER OIL,ROSA ALBA FLOWER OIL",,03/10/2023
367,"Santalum album oil","Santalum Album Oil","8006-87-9/ 84787-70-2","8006-87-9/ 84787-70-2",,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,"SANTALUM ALBUM OIL",,03/10/2023
